Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Pension Debt,Total Pay & Benefits
"Captain, Fire Suppression",180111.0,79678.19,36958.96,54327.97,296748.15,6888.87,357964.99
"Lieutenant, Fire Suppression",161243.36,111642.66,26831.67,51883.27,299717.69,6321.36,357922.32
Registered Nurse,258172.66,11763.42,35029.38,52813.65,304965.46,0.0,357779.11
Assistant Chief Attorney 2,289703.59,0.0,1265.16,66738.26,290968.75,0.0,357707.01
Sr Psychiatric Physician Spec,291857.27,0.0,1000.0,64691.33,292857.27,0.0,357548.6
Police Officer 3,155506.15,142911.9,8783.94,45050.11,307201.99,5291.55,357543.65
Deputy Sheriff,132385.0,89050.65,19633.62,100631.07,241069.27,15817.47,357517.81
Registered Nurse,224442.14,28644.98,43450.16,60897.22,296537.28,0.0,357434.5
Senior Physician Specialist,280779.02,3615.18,5950.0,66998.6,290344.2,0.0,357342.8
Police Officer 3,149243.25,135938.9,22015.34,44876.55,307197.49,5257.25,357331.29
Registered Nurse,197610.58,103073.51,1747.65,54818.77,302431.74,0.0,357250.51
Manager Viii,289541.0,0.0,0.0,67674.51,289541.0,0.0,357215.51
Firefighter,137471.63,128610.15,37984.05,47569.45,304065.83,5504.28,357139.56
Sr Psychiatric Physician Spec,271898.35,0.0,25990.0,59222.47,297888.35,0.0,357110.82
Lieutenant 3,237794.06,3528.62,32574.79,74741.95,273897.47,8409.02,357048.44
Lieutenant 3,218921.02,52768.75,23324.3,55135.86,295014.07,6820.36,356970.29
Sergeant 3,173315.59,92550.86,37130.54,48075.76,302996.99,5889.56,356962.31
Nurse Manager,240575.34,2113.05,48865.11,65328.03,291553.5,0.0,356881.53
Sergeant 3,176435.88,105191.68,18289.99,50991.27,299917.55,5930.88,356839.7
Registered Nurse,176601.87,98303.7,34575.4,47329.13,309480.97,0.0,356810.1
Nurse Practitioner,253781.51,26655.51,10635.44,65724.69,291072.46,0.0,356797.15
Deputy Sheriff,131617.0,68062.47,29094.93,110286.22,228774.4,17694.72,356755.34
Firefighter,137471.69,138916.03,27957.52,46995.6,304345.24,5390.86,356731.7
Police Officer 2,147667.45,121706.17,38811.44,43494.48,308185.06,4945.88,356625.42
"Captain, Fire Suppression",182382.45,77410.13,35201.34,54647.61,294993.92,6903.26,356544.79
Deputy Sheriff,129892.95,80778.79,24754.92,104413.48,235426.66,16611.24,356451.38
Sergeant 3,173315.62,63914.65,65389.42,47921.22,302619.69,5859.02,356399.93
Registered Nurse,183770.13,65442.94,48049.9,59111.23,297262.97,0.0,356374.2
Sergeant 3,176094.85,92248.01,30128.1,51567.69,298470.96,6267.11,356305.76
Sergeant 3,173505.07,84754.27,43568.96,48503.32,301828.3,5946.28,356277.9
"Lieutenant, Fire Suppression",159802.29,111243.57,27542.98,51381.32,298588.84,6257.69,356227.85
Dep Dir Iv,281880.5,0.0,0.0,74312.87,281880.5,0.0,356193.37
"Captain, Emergency Med Svcs",184143.54,81034.47,29628.55,54341.15,294806.56,6805.57,355953.28
Nursing Supervisor,244848.0,0.0,45446.97,65648.32,290294.97,0.0,355943.29
Police Officer 3,155969.48,125868.83,21826.76,46715.1,303665.07,5551.16,355931.33
Firefighter,146947.38,118614.54,34410.07,49952.33,299971.99,5975.25,355899.57
"Captain, Fire Suppression",182382.46,76085.07,35565.73,54845.56,294033.26,6942.39,355821.21
Senior Stationary Engineer,135706.6,136029.44,41542.94,42540.89,313278.98,0.0,355819.87
Deputy Sheriff,130646.22,70293.38,29183.67,108348.34,230123.27,17347.25,355818.86
Manager Viii,286705.52,0.0,0.0,69032.99,286705.52,0.0,355738.51
Sergeant 3,173722.33,109772.02,17968.48,48330.36,301462.83,5939.88,355733.07
Registered Nurse,239777.39,51700.1,16553.78,47667.66,308031.27,0.0,355698.93
Registered Nurse,231548.98,13105.99,49556.95,61429.35,294211.92,0.0,355641.27
"Lieutenant, Fire Suppression",182298.02,96316.57,21421.62,49116.26,300036.21,6465.81,355618.28
Police Officer 3,150115.41,138492.22,17377.25,44299.21,305984.88,5143.14,355427.23
Police Officer 2,146444.56,156163.69,4628.96,43241.16,307237.21,4934.02,355412.39
Emt/Paramedic/Firefighter,158936.88,113415.85,25572.93,51209.93,297925.66,6223.81,355359.4
Nurse Manager,240689.5,114.45,49137.9,65360.57,289941.85,0.0,355302.42
Nurse Manager,240689.52,0.0,49155.07,65363.61,289844.59,0.0,355208.2
Lieutenant 3,206446.07,58458.98,25367.48,57657.68,290272.53,7194.63,355124.84
Senior Deputy Sheriff,146794.0,55741.43,21829.42,112575.84,224364.85,18114.58,355055.27
Nurse Practitioner,251684.65,23018.05,14518.63,65825.92,289221.33,0.0,355047.25
Sergeant 3,173295.02,110921.66,16520.27,48349.46,300736.95,5943.66,355030.07
Police Officer 3,149378.29,147634.59,9019.52,43925.65,306032.4,5051.94,355009.99
Deputy Sheriff,131029.71,96425.28,13258.45,98788.2,240713.44,15499.76,355001.4
Police Officer 3,150334.52,141432.58,14220.93,43902.45,305988.03,5064.72,354955.2
Captain 3,239382.05,17122.24,28105.59,61548.68,284609.88,8469.08,354627.64
Deputy Sheriff,132139.5,91881.56,13286.78,101353.71,237307.84,15963.17,354624.72
Captain 3,248150.6,0.0,34934.42,62717.59,283085.02,8811.26,354613.87
Registered Nurse,266338.43,11448.72,20846.44,55976.25,298633.59,0.0,354609.84
Senior Physician Specialist,285937.42,284.9,1000.0,67336.85,287222.32,0.0,354559.17
Police Officer 3,149579.72,136028.15,19377.13,44357.02,304985.0,5154.56,354496.58
"Lieutenant, Fire Suppression",183273.0,91029.21,23825.49,49640.83,298127.7,6594.23,354362.76
Senior Physician Specialist,302063.34,0.0,1000.0,51288.81,303063.34,0.0,354352.15
Sergeant 3,173783.6,107665.03,18111.81,48768.18,299560.44,5956.94,354285.56
Sergeant 3,173351.52,99156.43,28151.94,47725.94,300659.89,5815.21,354201.04
Registered Nurse,248849.4,43517.59,12337.21,49473.25,304704.2,0.0,354177.45
Registered Nurse,278257.31,15704.14,4947.54,55227.26,298908.99,0.0,354136.25
"Captain, Fire Suppression",183778.48,83265.09,28663.2,51715.17,295706.77,6657.76,354079.7
Registered Nurse,197262.27,86714.84,17408.35,52654.13,301385.46,0.0,354039.59
Manager Viii,284647.25,0.0,0.0,69339.24,284647.25,0.0,353986.49
Nurse Manager,214213.51,62538.18,20512.0,56718.29,297263.69,0.0,353981.98
Registered Nurse,196042.81,49873.61,47917.54,60139.97,293833.96,0.0,353973.93
Police Officer 3,149243.28,139100.66,15686.51,44681.69,304030.45,5218.73,353930.87
Sergeant 3,173535.33,103571.25,22734.61,48122.46,299841.19,5898.79,353862.44
Registered Nurse,261775.49,24039.35,12397.98,55597.93,298212.82,0.0,353810.75
Police Officer 2,127447.01,179057.95,2572.41,40284.74,309077.37,4349.69,353711.8
Police Officer,138459.61,160904.71,6828.41,42654.85,306192.73,4766.03,353613.61
Police Officer 2,130082.28,172459.15,5944.08,40696.78,308485.51,4431.13,353613.42
Captain 3,252896.95,1555.53,25045.88,65105.19,279498.36,8831.61,353435.16
Sheriff'S Sergeant,159739.41,27248.39,23507.78,123105.47,210495.58,19804.07,353405.12
Engineer,280803.08,0.0,0.0,63131.65,280803.08,9207.44,353142.17
Emt/Paramedic/Firefighter,160433.79,108777.05,25890.51,51714.21,295101.35,6286.36,353101.92
Police Officer 3,149278.75,132976.34,21783.16,43971.66,304038.25,5078.4,353088.31
Special Nurse,237640.75,105978.35,9463.6,0.0,353082.7,0.0,353082.7
Sergeant 3,180524.37,89812.41,21916.11,54681.92,292252.89,6137.56,353072.37
"Lieutenant, Fire Suppression",168039.78,107008.43,25670.81,46497.1,300719.02,5793.47,353009.59
Police Officer 3,150235.61,130622.22,22673.61,44324.05,303531.44,5148.05,353003.54
"Manager Viii, Mta",284932.72,0.0,0.0,68069.34,284932.72,0.0,353002.06
Captain 3,250101.0,1623.7,29211.18,63178.12,280935.88,8874.5,352988.5
Deputy Sheriff,132385.01,73968.84,22291.01,107212.91,228644.86,17083.19,352940.96
Lieutenant 3,209114.98,37364.08,41129.14,58203.49,287608.2,7126.67,352938.36
Senior Physician Specialist,302063.06,0.0,1000.0,49837.79,303063.06,0.0,352900.85
Dept Head Iii,283174.57,0.0,0.0,69693.64,283174.57,0.0,352868.21
Firefighter,137471.65,136422.59,26711.87,46711.31,300606.11,5334.68,352652.1
Firefighter,138799.06,146999.87,16338.44,45329.17,302137.37,5024.38,352490.92
Registered Nurse,238978.64,22310.59,38068.67,53091.12,299357.9,0.0,352449.02
Registered Nurse,239741.87,26262.64,33025.96,53413.6,299030.47,0.0,352444.07
Deputy Sheriff,132385.0,76763.78,22478.09,104154.15,231626.87,16494.97,352275.99
Police Officer 3,155211.08,96027.41,46469.9,49202.52,297708.39,5297.72,352208.63
Police Officer 3,157306.53,114528.38,30729.28,44612.0,302564.19,5031.28,352207.47
"Captain, Fire Suppression",184143.54,65909.43,39309.44,55712.18,289362.41,7076.55,352151.14
Dep Dir V,278418.02,0.0,0.0,73716.47,278418.02,0.0,352134.49
Registered Nurse,201760.44,64331.3,35696.0,50341.85,301787.74,0.0,352129.59
"Captain, Emergency Med Svcs",183299.09,97461.7,16496.9,48464.35,297257.69,6361.71,352083.75
Police Officer 3,149243.25,141042.22,12976.47,43733.29,303261.94,5031.28,352026.51
Sergeant 3,174383.07,75814.81,46998.61,48796.8,297196.49,5960.0,351953.29
Assistant Chief Attorney 1,279054.05,0.0,7043.08,65702.49,286097.13,0.0,351799.62
Sheriff'S Sergeant,160358.26,25586.07,22874.02,123113.48,208818.35,19790.57,351722.4
Dep Dir Iv,282699.54,0.0,0.0,69011.79,282699.54,0.0,351711.33
Sergeant 3,173701.83,99735.73,22629.6,49510.96,296067.16,6113.31,351691.43
Deputy Sheriff,132385.0,59483.62,28729.37,112845.23,220597.99,18166.39,351609.61
Manager Vii,276235.0,0.0,0.0,75248.87,276235.0,0.0,351483.87
Sergeant 3,174052.91,90901.51,30838.56,49602.56,295792.98,6080.18,351475.72
Police Officer 3,149278.75,138217.54,15224.45,43702.03,302720.74,5025.1,351447.87
"Head Atty, Civil & Criminal",265826.51,0.0,23000.0,62588.52,288826.51,0.0,351415.03
Police Officer 3,156898.86,126004.85,15863.58,47073.78,298767.29,5483.11,351324.18
Police Officer 2,142405.25,153277.28,7787.41,42954.39,303469.94,4877.34,351301.67
Deputy Sheriff,132385.0,86442.13,15709.36,100875.14,234536.49,15864.41,351276.04
Police Officer 3,140359.49,158696.13,4521.36,42836.57,303576.98,4801.95,351215.5
Manager Vii,282182.5,0.0,0.0,69005.14,282182.5,0.0,351187.64
Pub Safety Communication Coord,145204.16,159184.98,5326.49,41364.1,309715.63,0.0,351079.73
Sergeant 3,177420.72,79343.37,34930.27,53155.79,291694.36,6188.49,351038.64
Registered Nurse,254370.51,24291.04,14930.23,57418.4,293591.78,0.0,351010.18
"Captain, Fire Suppression",182382.46,71358.65,35848.75,54537.73,289589.86,6881.54,351009.13
Deputy Sheriff (Sfers),123002.05,178690.09,5083.64,39892.18,306775.78,4251.51,350919.47
"Lieutenant, Fire Suppression",159519.37,105796.15,29341.44,50125.23,294656.96,6015.47,350797.66
Nurse Practitioner,269217.31,13029.5,1762.0,66781.7,284008.81,0.0,350790.51
Dep Dir Iv,281441.01,0.0,0.0,69326.67,281441.01,0.0,350767.68
"Captain, Fire Suppression",248641.5,11667.54,22377.73,59505.62,282686.77,8543.98,350736.37
Captain 3,255614.35,0.0,23693.05,62707.87,279307.4,8686.46,350701.73
Nurse Practitioner,261633.06,14221.49,8167.42,66618.97,284021.97,0.0,350640.94
Physician Specialist,272851.71,2133.0,9885.0,65740.96,284869.71,0.0,350610.67
Sergeant 3,178869.9,92161.51,21837.24,51693.48,292868.65,5999.33,350561.46
Police Officer 3,146126.21,149558.64,6423.94,43463.51,302108.79,4977.96,350550.26
Registered Nurse,234845.8,12561.2,47628.13,55485.14,295035.13,0.0,350520.27
Nurse Manager,255878.5,0.0,26490.51,68115.18,282369.01,0.0,350484.19
Emt/Paramedic/Firefighter,158899.43,109571.53,26738.48,49329.44,295209.44,5852.14,350391.02
Deputy Sheriff,132385.0,69870.5,24586.42,106573.07,226841.92,16960.16,350375.15
Registered Nurse,240909.69,17646.47,41765.63,50016.67,300321.79,0.0,350338.46
Assistant Chief Attorney 1,279054.08,0.0,5543.08,65702.49,284597.16,0.0,350299.65
Assistant Chief Attorney 1,279054.07,0.0,5543.08,65702.49,284597.15,0.0,350299.64
Assistant Chief Attorney 1,279054.05,0.0,5543.08,65702.47,284597.13,0.0,350299.6
Assistant Chief Attorney 1,279054.02,0.0,5543.08,65702.48,284597.1,0.0,350299.58
Assistant Chief Attorney 1,279054.01,0.0,5543.08,65702.47,284597.09,0.0,350299.56
Emt/Paramedic/Firefighter,160433.8,106019.18,25813.76,51714.2,292266.74,6286.36,350267.3
Sheriff'S Sergeant,160671.51,30916.84,18028.52,121095.89,209616.87,19395.09,350107.85
Sergeant 3,175507.48,98160.02,19836.53,50541.22,293504.03,6057.28,350102.53
Dep Dir V,282076.01,0.0,0.0,67907.92,282076.01,0.0,349983.93
Sergeant 3,179504.44,90329.55,21012.73,52979.38,290846.72,6144.07,349970.17
Deputy Sheriff,132385.0,57011.67,31212.49,111422.72,220609.16,17892.79,349924.67
"Captain, Fire Suppression",181719.16,75873.25,31453.66,54000.65,289046.07,6800.14,349846.86
Deputy Sheriff,131617.0,66005.31,28810.91,106250.75,226433.22,16918.66,349602.63
Dept Head Ii,280537.01,0.0,0.0,69041.26,280537.01,0.0,349578.27
Deputy Sheriff,132133.2,68410.95,25326.72,106708.47,225870.87,16992.99,349572.33
Special Nurse,213565.23,113783.84,22212.4,0.0,349561.47,0.0,349561.47
Sergeant 3,174167.17,64961.67,54677.82,49670.96,293806.66,6079.8,349557.42
Police Officer 3,149261.0,140990.14,10536.73,43717.65,300787.87,5028.19,349533.71
"Head Atty, Civil & Criminal",265826.53,0.0,21000.0,62588.52,286826.53,0.0,349415.05
Police Officer,130049.1,165263.3,10268.76,39606.25,305581.16,4215.59,349403.0
Captain 3,250895.0,1555.53,24275.87,63835.65,276726.4,8740.28,349302.33
Deputy Sheriff (Sfers),132385.0,142700.77,24802.29,44234.99,299888.06,5109.86,349232.91
Sergeant 3,174744.24,88673.83,31332.72,48501.17,294750.79,5945.85,349197.81
Assistant Inspector 3,173315.6,59788.58,67680.13,48330.36,300784.31,0.0,349114.67
Deputy Sheriff,106145.03,120611.65,20479.84,87821.6,247236.52,14054.1,349112.22
Deputy Sheriff,132385.0,70183.79,23928.33,105776.75,226497.12,16807.03,349080.9
Senior Physician Specialist,281037.65,0.0,1000.0,67037.94,282037.65,0.0,349075.59
Lieutenant 3,238580.36,3969.54,23341.07,74817.91,265890.97,8349.35,349058.23
Sergeant 3,173580.1,101129.33,20032.77,48330.36,294742.2,5939.88,349012.44
Nurse Practitioner,258974.36,11469.69,10680.47,67772.83,281124.52,0.0,348897.35
Physician Specialist,279370.88,0.0,2560.0,66927.77,281930.88,0.0,348858.65
Physician Specialist,269024.63,9142.19,7416.25,63249.29,285583.07,0.0,348832.36
Physician Specialist,270337.64,5625.83,7277.5,65484.05,283240.97,0.0,348725.02
Police Officer 3,158747.45,114283.38,22609.87,47559.35,295640.7,5492.24,348692.29
"Lieutenant, Fire Suppression",159802.29,108954.38,25577.4,48622.72,294334.07,5712.46,348669.25
Sergeant 3,183673.46,59171.62,40083.99,59167.48,282929.07,6560.4,348656.95
Deputy Sheriff,132385.01,79003.64,18395.1,102596.31,229783.75,16195.39,348575.45
Nurse Midwife,225358.58,46468.76,17141.11,59595.33,288968.45,0.0,348563.78
"Manager Vii, Mta",279513.5,0.0,0.0,69050.06,279513.5,0.0,348563.56
Sergeant 3,176957.69,81929.18,33853.88,49826.21,292740.75,5906.41,348473.37
Registered Nurse,235310.13,18146.42,41721.55,53287.31,295178.1,0.0,348465.41
Police Officer 2,147523.42,144925.21,7463.38,43496.28,299912.01,4967.07,348375.36
Captain 3,250439.26,0.0,27456.72,61903.92,277895.98,8572.29,348372.19
Assistant Chief Attorney 1,279054.0,0.0,3771.85,65388.64,282825.85,0.0,348214.49
Police Officer 3,149243.25,135848.08,14231.15,43833.94,299322.48,5051.18,348207.6
"Manager Vii, Mta",280702.5,0.0,0.0,67370.13,280702.5,0.0,348072.63
Transit Power Line Worker,165428.41,114273.24,18265.69,49994.32,297967.34,0.0,347961.66
"Captain, Fire Suppression",220049.54,34986.89,28606.43,56335.65,283642.86,7917.45,347895.96
"Captain, Emergency Med Svcs",184318.89,87207.88,20314.37,49538.09,291841.14,6502.78,347882.01
Lieutenant 3,198944.9,61400.51,26406.13,54089.28,286751.54,7005.17,347845.99
Assistant Chief Attorney 1,279054.05,0.0,4000.0,64782.87,283054.05,0.0,347836.92
Deputy Sheriff,132385.02,77568.34,19875.51,101910.17,229828.87,16063.45,347802.49
Sergeant 3,174305.02,103801.96,15062.2,48649.16,293169.18,5898.68,347717.02
Emt/Paramedic/Firefighter,160433.8,104759.78,26543.23,50027.1,291736.81,5952.91,347716.82
"Lieutenant, Fire Suppression",159324.12,106436.93,26739.92,49154.81,292500.97,5913.52,347569.3
Senior Deputy Sheriff,146794.0,47082.2,19684.53,115342.07,213560.73,18646.52,347549.32
Sergeant 3,178367.29,61813.34,47582.27,53537.46,287762.9,6152.77,347453.13
Sergeant 3,174029.31,79857.42,39240.41,48453.12,293127.14,5858.2,347438.46
Registered Nurse,230486.21,23346.21,34583.64,58991.54,288416.06,0.0,347407.6
Sr Psychiatric Physician Spec,283156.42,0.0,1000.0,63248.04,284156.42,0.0,347404.46
Emt/Paramedic/Firefighter,138800.13,138926.47,22047.62,42424.09,299774.22,5168.42,347366.73
Nursing Supervisor,247887.97,7081.03,25788.79,66597.97,280757.79,0.0,347355.76
Captain 3,250287.62,1565.19,25166.44,61736.41,277019.25,8561.76,347317.42
Captain 3,250742.6,0.0,25746.83,62171.85,276489.43,8578.35,347239.63
Sergeant 3,173878.54,89654.6,29443.41,48311.25,292976.55,5936.1,347223.9
Firefighter,138799.04,125453.56,31248.54,46444.22,295501.14,5244.76,347190.12
Sergeant 3,173429.8,94094.12,25586.31,48171.51,293110.23,5894.59,347176.33
Lieutenant 3,199962.19,54270.58,30958.58,54871.14,285191.35,7093.71,347156.2
Registered Nurse,201249.19,86913.16,3192.11,55756.75,291354.46,0.0,347111.21
"Lieutenant, Fire Suppression",161307.33,100643.49,26925.17,51887.32,288875.99,6320.58,347083.89
Sergeant 3,189396.84,83236.67,15659.67,52749.69,288293.18,5968.85,347011.72
Police Officer 3,147131.75,145090.06,7056.8,42782.19,299278.61,4895.4,346956.2
Sergeant 3,173411.48,93209.71,25951.88,48415.75,292573.07,5942.86,346931.68
Sergeant 3,179668.82,65121.31,42648.45,53542.7,287438.58,5931.5,346912.78
Sergeant 3,173596.4,112091.17,7063.49,48167.87,292751.06,5866.08,346785.01
Police Officer 2,146547.96,126604.9,25450.38,43225.82,298603.24,4930.98,346760.04
Senior Deputy Sheriff,146794.0,54647.25,17742.5,109943.15,219183.75,17608.26,346735.16
Police Officer 3,147685.08,132505.63,17885.66,43574.21,298076.37,5051.95,346702.53
"Battalion Chief, Fire Suppress",219026.55,14379.73,40225.51,64804.0,273631.79,8241.38,346677.17
"Captain, Emergency Med Svcs",220075.5,11476.78,51336.64,55921.88,282888.92,7835.67,346646.47
Deputy Sheriff,132385.0,64954.67,26892.92,105598.6,224232.59,16772.77,346603.96
"Lieutenant, Fire Suppression",161307.35,101133.27,27904.47,50251.07,290345.09,5997.18,346593.34
Registered Nurse,178721.09,81816.02,33343.48,52687.75,293880.59,0.0,346568.34
Nurse Practitioner,217634.37,67395.64,10880.77,50529.44,295910.78,0.0,346440.22
"Lieutenant, Fire Suppression",161307.31,100092.69,26662.4,52004.28,288062.4,6343.69,346410.37
Sergeant 3,173507.36,44478.44,74720.38,47864.71,292706.18,5820.06,346390.95
Public Safetycomm Disp,127329.62,164002.52,13788.73,41221.47,305120.87,0.0,346342.34
Senior Deputy Sheriff,145942.4,43628.51,22929.35,115140.2,212500.26,18628.18,346268.64
"Captain, Fire Suppression",184029.08,59177.82,40857.11,55205.2,284064.01,6977.89,346247.1
Registered Nurse,197478.16,66015.0,33330.84,49416.1,296824.0,0.0,346240.1
Dep Dir Iv,277051.02,0.0,0.0,69180.03,277051.02,0.0,346231.05
Police Officer 3,150495.16,139656.12,6223.49,44693.92,296374.77,5104.79,346173.48
Police Officer 3,149985.01,132606.21,14914.18,43606.14,297505.4,5006.15,346117.69
Deputy Sheriff,132385.01,76960.38,19876.29,100989.72,229221.68,15886.45,346097.85
"Lieut,Fire Invstgtn",180299.44,73976.71,36910.9,54677.25,291187.05,0.0,345864.3
Registered Nurse,213214.5,24512.83,46128.28,61896.98,283855.61,0.0,345752.59
"Capt,Fire Prev Or Fire Invsgtn",207015.55,60276.56,18631.38,52628.92,285923.49,7184.82,345737.23
Attorney (Civil/Criminal),238007.0,0.0,49527.37,58181.19,287534.37,0.0,345715.56
Sergeant 3,175447.27,96041.25,18520.88,49595.49,290009.4,6011.91,345616.8
Engineer,273858.93,0.0,750.0,61979.67,274608.93,8979.76,345568.36
Sergeant 3,173315.59,80818.53,36437.39,48888.85,290571.51,6050.26,345510.62
Police Officer 3,151228.42,97901.06,45176.36,46015.37,294305.84,5187.08,345508.29
Public Defender,276794.5,0.0,0.0,68696.84,276794.5,0.0,345491.34
"Lieutenant, Fire Suppression",161307.32,106194.36,21059.88,50786.13,288561.56,6102.93,345450.62
Registered Nurse,197715.65,44860.49,48639.26,54187.04,291215.4,0.0,345402.44
Electronic Maintenance Tech,160384.51,91927.33,45452.02,47464.34,297763.86,0.0,345228.2
Manager Viii,283646.68,0.0,0.0,61533.58,283646.68,0.0,345180.26
"Battalion Chief, Fire Suppress",221038.04,13910.46,37134.97,64852.66,272083.47,8207.5,345143.63
Sergeant 3,174015.86,87460.8,27314.12,50132.65,288790.78,6190.16,345113.59
Police Officer 3,149243.25,130129.9,16904.98,43733.28,296278.13,5031.28,345042.69
Sergeant 3,173315.6,103352.47,13955.28,48330.37,290623.35,5939.88,344893.6
Sergeant 3,173315.5,38411.5,78887.3,48330.36,290614.3,5939.88,344884.54
"Deputy Dir I, Mta",277917.0,0.0,0.0,66963.22,277917.0,0.0,344880.22
Sergeant 3,174550.59,94944.42,19846.61,49506.26,289341.62,5987.33,344835.21
Emt/Paramedic/Firefighter,190760.94,51172.68,43142.93,52691.63,285076.55,7017.8,344785.98
Registered Nurse,233910.75,18709.06,38097.07,54057.7,290716.88,0.0,344774.58
Nurse Practitioner,246138.92,34471.86,1762.0,62358.3,282372.78,0.0,344731.08
Police Officer 3,149876.21,129580.04,15832.04,44167.41,295288.29,5117.09,344572.79
Sergeant 3,173722.35,90519.12,26004.68,48330.37,290246.15,5939.88,344516.4
Deputy Sheriff,132385.0,78984.01,17544.82,99917.82,228913.83,15680.28,344511.93
Registered Nurse,226586.96,27012.14,38353.42,52540.35,291952.52,0.0,344492.87
Deputy Chief 3,202650.82,0.0,83386.09,50799.47,286036.91,7623.18,344459.56
Police Officer 3,150424.88,127780.91,15823.03,45255.17,294028.82,5158.4,344442.39
Police Officer 3,149243.25,110510.63,35361.35,44200.37,295115.23,5123.6,344439.2
Sergeant 3,174148.41,33216.66,81266.74,49644.61,288631.81,6078.07,344354.49
"Lieutenant, Fire Suppression",159764.57,103046.64,25943.86,49654.49,288755.07,5916.39,344325.95
Dept Head Iii,277128.0,0.0,0.0,67156.46,277128.0,0.0,344284.46
Police Officer 3,149261.02,129650.1,16640.77,43635.79,295551.89,5012.01,344199.69
Deputy Sheriff,132385.03,57982.51,28641.5,107956.14,219009.04,17226.16,344191.34
Manager Vii,277102.62,0.0,0.0,67083.99,277102.62,0.0,344186.61
Project Manager 4,281073.05,0.0,0.0,63099.5,281073.05,0.0,344172.55
Police Officer 2,144875.75,136967.17,14103.65,43230.77,295946.57,4970.66,344148.0
Police Officer 3,149261.01,127876.62,17699.16,44183.9,294836.79,5120.34,344141.03
Sergeant 3,173409.16,90512.45,25663.35,48417.92,289584.96,5943.29,343946.17
Dept Head Iii,276235.0,0.0,0.0,67627.07,276235.0,0.0,343862.07
"Captain, Fire Suppression",184100.69,65716.25,32479.61,54683.73,282296.55,6873.28,343853.56
Assistant Chief Attorney 1,279054.06,0.0,0.0,64782.86,279054.06,0.0,343836.92
Assistant Chief Attorney 1,279054.02,0.0,0.0,64782.87,279054.02,0.0,343836.89
Assistant Chief Attorney 1,279054.03,0.0,0.0,64782.86,279054.03,0.0,343836.89
Assistant Chief Attorney 1,279054.04,0.0,0.0,64782.85,279054.04,0.0,343836.89
Assistant Chief Attorney 1,279054.01,0.0,0.0,64782.86,279054.01,0.0,343836.87
Assistant Chief Attorney 1,279054.01,0.0,0.0,64782.86,279054.01,0.0,343836.87
Assistant Chief Attorney 1,279054.01,0.0,0.0,64782.86,279054.01,0.0,343836.87
Assistant Chief Attorney 1,279054.01,0.0,0.0,64782.85,279054.01,0.0,343836.86
Assistant Chief Attorney 1,279054.0,0.0,0.0,64782.85,279054.0,0.0,343836.85
Engineer/Architect Principal,254547.02,0.0,26141.68,63057.01,280688.7,0.0,343745.71
Police Officer 3,152700.69,131109.9,10828.79,43965.3,294639.38,5077.14,343681.82
Dep Dir Iv,275819.0,0.0,0.0,67856.34,275819.0,0.0,343675.34
Assistant Chief Attorney 1,278922.33,0.0,0.0,64750.66,278922.33,0.0,343672.99
Registered Nurse,222763.51,50043.08,20449.36,50412.86,293255.95,0.0,343668.81
"Captain, Emergency Med Svcs",184143.53,68727.87,29628.55,54341.16,282499.95,6805.57,343646.68
Sergeant 3,173807.05,74769.1,40304.02,48768.04,288880.17,5955.18,343603.39
Police Officer 3,151316.9,131948.05,11477.42,43733.28,294742.37,5031.28,343506.93
Registered Nurse,246402.93,13096.39,30507.35,53446.12,290006.67,0.0,343452.79
Lieutenant 3,199241.27,54246.24,28328.22,54554.37,281815.73,7077.99,343448.09
Police Officer 3,201919.9,0.0,78984.27,55181.44,280904.17,7335.48,343421.09
Manager Vi,274977.54,0.0,0.0,68298.91,274977.54,0.0,343276.45
Nurse Manager,219401.33,17645.42,44772.48,61456.95,281819.23,0.0,343276.18
"Captain, Emergency Med Svcs",184143.55,62980.8,34009.75,55075.87,281134.1,6950.78,343160.75
Sergeant 3,190867.25,69040.17,18651.93,57850.3,278559.35,6570.13,342979.78
Deputy Sheriff,132385.01,77673.09,15662.0,101296.39,225720.1,15945.42,342961.91
Sergeant 3,173600.95,96730.39,19421.68,47470.19,289753.02,5728.19,342951.4
Sergeant 3,179358.97,79166.64,26019.19,52257.14,284544.8,6137.65,342939.59
Registered Nurse,225428.36,16319.57,47131.26,54035.76,288879.19,0.0,342914.95
Registered Nurse,211081.81,46181.36,34580.85,50891.64,291844.02,0.0,342735.66
Assistant Chief Attorney 2,292853.51,0.0,0.0,49873.03,292853.51,0.0,342726.54
Sergeant 3,187733.27,9231.96,77164.61,62043.12,274129.84,6540.0,342712.96
Nurse Manager,219584.08,50995.26,17630.44,54404.3,288209.78,0.0,342614.08
Sergeant 3,173762.92,85917.32,28037.35,48787.28,287717.59,5960.72,342465.59
Deputy Sheriff,132372.41,66784.13,21688.51,104863.76,220845.05,16631.5,342340.31
"Lieut,Fire Prev",207015.58,53541.84,27601.01,54059.44,288158.43,0.0,342217.87
Manager Vii,273469.95,0.0,0.0,68733.89,273469.95,0.0,342203.84
Nurse Manager,248154.0,1451.4,25815.4,66722.73,275420.8,0.0,342143.53
Police Officer 3,210041.67,2623.72,60989.14,61505.01,273654.53,6819.59,341979.13
"Battalion Chief, Fire Suppress",221089.5,6993.26,40088.34,65429.36,268171.1,8321.48,341921.94
